EAN,SKU,Produkt,Variant,Storlek,Centra Antal,Centra COG (SEK),Centra Enhetskostnad,ES Antal,ES FIFO-värde (SEK),ES Snittkostnad,ES Källa,Antal Diff,Värde Diff (SEK),Värde Diff %,Möjlig Orsak
7340119340486,AW625-W,"W Vargön Fat Wool Vest","Off White",L,0,0,0,107,51389.59,480.28,delivery,107,51389.59,100,"Antal skiljer: +107; Finns endast i ES"
7340119340479,AW625-W,"W Vargön Fat Wool Vest","Off White",M,0,0,0,88,43567.04,495.08,delivery,88,43567.04,100,"Antal skiljer: +88; Finns endast i ES"
7340119340523,AW625-M,"M Vargön Fat Wool Vest","Off White",L,0,0,0,62,27563.96,444.58,delivery,62,27563.96,100,"Antal skiljer: +62; Finns endast i ES"
7340119340462,AW625-W,"W Vargön Fat Wool Vest","Off White",S,0,0,0,53,26239.24,495.08,delivery,53,26239.24,100,"Antal skiljer: +53; Finns endast i ES"
7340119340493,AW625-W,"W Vargön Fat Wool Vest","Off White",XL,0,0,0,43,21092.02,490.51,delivery,43,21092.02,100,"Antal skiljer: +43; Finns endast i ES"
7340119340530,AW625-M,"M Vargön Fat Wool Vest","Off White",XL,0,0,0,44,16004.88,444.58,delivery,44,16004.88,100,"Antal skiljer: +44; Finns endast i ES"
7340119350119,SP775-W,"W Styrsö Wool Zip Jersey","Off White",S,61,26048,427.02,27,10784.34,399.42,stockChange,-34,-15263.66,-58.6,"Antal skiljer: -34; ES-kostnad lägre - växelkurs/tidpunkt; ES använder stockChange (ej leverans)"
7340119340516,AW625-M,"M Vargön Fat Wool Vest","Off White",M,0,0,0,28,12448.24,444.58,delivery,28,12448.24,100,"Antal skiljer: +28; Finns endast i ES"
7340119356937,SP1001-W,"W Ängsö T-Shirt","Ocean Blue",L,0,0,0,22,10478.16,476.28,delivery,22,10478.16,100,"Antal skiljer: +22; Finns endast i ES"
7340119389522,SPN90-U,"U Varberg Classic Towel Poncho","Burnt Orange Flower Power",S/M,37,9990,270,37,0,0,delivery,0,-9990,-100,"ES-kostnad lägre - växelkurs/tidpunkt"
7340119340455,AW625-W,"W Vargön Fat Wool Vest","Off White",XS,0,0,0,21,9687.84,461.33,delivery,21,9687.84,100,"Antal skiljer: +21; Finns endast i ES"
7340119378953,VA0223,"W Bohus Overshirt Jacket","Mermaid Green",M,45,22005,489,45,30323.7,673.86,delivery,0,8318.7,37.8,"Stor kostnadsskillnad - kontrollera"
7340119340509,AW625-M,"M Vargön Fat Wool Vest","Off White",S,0,0,0,18,8002.44,444.58,delivery,18,8002.44,100,"Antal skiljer: +18; Finns endast i ES"
7340119350126,SP775-W,"W Styrsö Wool Zip Jersey","Off White",M,80,34100,426.25,67,26514.42,395.74,stockChange,-13,-7585.58,-22.25,"Antal skiljer: -13; ES-kostnad lägre - växelkurs/tidpunkt; ES använder stockChange (ej leverans)"
7340119355435,AW55-W,"W Abisko Wool Jersey","Stone Grey",S,0,0,0,13,6191.64,476.28,delivery,13,6191.64,100,"Antal skiljer: +13; Finns endast i ES"
7340119350027,AW459-W,"W Duved Wool Anorak","Off White",M,37,15170,410,37,21340.49,576.77,delivery,0,6170.49,40.68,"Stor kostnadsskillnad - kontrollera"
7340119378946,VA0223,"W Bohus Overshirt Jacket","Mermaid Green",S,33,16137,489,33,22237.38,673.86,delivery,0,6100.38,37.8,"Stor kostnadsskillnad - kontrollera"
7340119378960,VA0223,"W Bohus Overshirt Jacket","Mermaid Green",L,30,14670,489,30,20215.8,673.86,delivery,0,5545.8,37.8,"Stor kostnadsskillnad - kontrollera"
7340119350010,AW459-W,"W Duved Wool Anorak","Off White",S,31,12710,410,31,17879.87,576.77,delivery,0,5169.87,40.68,"Stor kostnadsskillnad - kontrollera"
