Brand,SKU,Collection,Product,Variant,Variant SKU,COG,Size,Size SKU,EAN,UPC,Quantity,Cost price,
VARG,BAS3000,CORE,Gift Wrapping,Gift Wrapping,-CH,1290.00,One size,,,,86,15,
GUPPYFRIEND,BAS305,Garment Care,GUPPYFRIEND Washingbag,GuppyFriend Washing Bag,,1400.00,One size,-10,,,28,50,
OrganoTex,BAS367,Garment Care,OrganoTex BioCare Sport Textil Wash,500 ml,,828.00,One size,-10,7350064221129,,12,69,
OrganoTex,BAS685,Garment Care,OrganoTex BioCare Wool & Down Wash,500 ml,,1518.00,One size,-10,7350064221167,,22,69,
OrganoTex,BAS301,Garment Care,OrganoTex Spray-On Textile Waterproofing,500 ml,,1343.00,One size,-10,7350064221631,,17,79,
OrganoTex,BAS311,Garment Care,OrganoTex Wash-In Textile Waterproofing,500 ml,,1193.00,One size,,7350064221716,,12,99.41666667,
VARG,102,Garment Care,Varg Jacket Repair Kit,Beads & String,-BS,1000.00,One size,,,,20,50,
VARG,101,Garment Care,Varg Wool Comb,Wood,-WO,12540.00,One size,,7340119362433,,418,30,
VARG,AW107-W,AW22,W Abisko Wool Pant,Black Granite,-BG,1512.00,XS,-2,7340119372357,,4,378,
VARG,AW107-W,AW22,W Abisko Wool Pant,Black Granite,-BG,8694.00,S,-3,7340119372364,,23,378,
VARG,AW107-W,AW22,W Abisko Wool Pant,Black Granite,-BG,17766.00,M,-4,7340119372371,,47,378,
VARG,AW107-W,AW22,W Abisko Wool Pant,Black Granite,-BG,6426.00,L,-5,7340119372388,,17,378,
VARG,AW107-W,AW22,W Abisko Wool Pant,Black Granite,-BG,5670.00,XL,-6,7340119372395,,15,378,
VARG,AW107-W,AW22,W Abisko Wool Pant,Black Granite,-BG,2268.00,XXL,-7,7340119372401,,6,378,
VARG,AW107-W,AW22,W Abisko Wool Pant,Cobble Stone Grey,-CO-GREY,0.00,XS,-2,7340119325476,,0,#DIV/0!,
VARG,AW107-W,AW22,W Abisko Wool Pant,Cobble Stone Grey,-CO-GREY,0.00,S,-3,7340119325483,,0,#DIV/0!,
VARG,AW107-W,AW22,W Abisko Wool Pant,Cobble Stone Grey,-CO-GREY,0.00,M,-4,7340119325490,,0,#DIV/0!,
VARG,AW107-W,AW22,W Abisko Wool Pant,Cobble Stone Grey,-CO-GREY,0.00,L,-5,7340119325506,,0,#DIV/0!,
VARG,AW107-W,AW22,W Abisko Wool Pant,Cobble Stone Grey,-CO-GREY,0.00,XL,-6,7340119325513,,0,#DIV/0!,
VARG,AW107-W,AW22,W Abisko Wool Pant,Stone Grey,-STG,0.00,XS,-2,7340119355473,,0,#DIV/0!,
VARG,AW107-W,AW22,W Abisko Wool Pant,Stone Grey,-STG,0.00,S,-3,7340119355480,,0,#DIV/0!,
VARG,AW107-W,AW22,W Abisko Wool Pant,Stone Grey,-STG,0.00,M,-4,7340119355497,,0,#DIV/0!,
VARG,AW107-W,AW22,W Abisko Wool Pant,Stone Grey,-STG,0.00,L,-5,7340119355503,,0,#DIV/0!,
VARG,AW107-W,AW22,W Abisko Wool Pant,Stone Grey,-STG,0.00,XL,-6,7340119355510,,0,#DIV/0!,
VARG,AW425-W,AW23,W Fårö Wool Pant,Off White,-OW,0.00,XS,-2,7340119361306,,0,#DIV/0!,
VARG,AW425-W,AW23,W Fårö Wool Pant,Off White,-OW,562.50,S,-3,7340119361313,,1,562.5,
VARG,AW425-W,AW23,W Fårö Wool Pant,Off White,-OW,11812.50,M,-4,7340119361320,,21,562.5,
VARG,AW425-W,AW23,W Fårö Wool Pant,Off White,-OW,10687.50,L,-5,7340119361337,,19,562.5,
VARG,AW425-W,AW23,W Fårö Wool Pant,Off White,-OW,10687.50,XL,-6,7340119361344,,19,562.5,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Carbon Black,-CB,2133.50,XS,-2,7340119342732,,5,426.7,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Carbon Black,-CB,10667.50,S,-3,7340119342749,,25,426.7,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Carbon Black,-CB,5547.10,M,-4,7340119342756,,13,426.7,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Carbon Black,-CB,4693.70,L,-5,7340119342763,,11,426.7,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Carbon Black,-CB,5120.40,XL,-6,7340119342770,,12,426.7,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Carbon Black,-CB,2133.50,XXL,-7,7340119378823,,5,426.7,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Dark Olive Green,-DKO,2050.00,XS,-2,7340119355527,,5,410,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Dark Olive Green,-DKO,0.00,S,-3,7340119355534,,0,#DIV/0!,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Dark Olive Green,-DKO,0.00,M,-4,7340119355541,,0,#DIV/0!,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Dark Olive Green,-DKO,0.00,L,-5,7340119355558,,0,#DIV/0!,
VARG,AW415-W,AW22,W Mora Hybrid Pant,Dark Olive Green,-DKO,0.00,XL,-6,7340119355565,,0,#DIV/0!,
VARG,SP78-W,SS21,W Roslagen Stretch Pant,Midnight Blue,-MIDB,0.00,XS,-2,7340119341254,,0,#DIV/0!,
VARG,SP78-W,SS21,W Roslagen Stretch Pant,Midnight Blue,-MIDB,0.00,S,-3,7340119341261,,0,#DIV/0!,
VARG,SP78-W,SS21,W Roslagen Stretch Pant,Midnight Blue,-MIDB,0.00,M,-4,7340119341278,,0,#DIV/0!,
VARG,SP78-W,SS21,W Roslagen Stretch Pant,Midnight Blue,-MIDB,0.00,L,-5,7340119341285,,0,#DIV/0!,
VARG,SP78-W,SS21,W Roslagen Stretch Pant,Midnight Blue,-MIDB,0.00,XL,-6,7340119341292,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,XS,-2,7340119360934,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,S,-3,7340119360941,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,M,-4,7340119360958,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,L,-5,7340119360965,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Balsam Green, -BS,0.00,XL,-6,7340119360972,,0,#DIV/0!,
VARG,AW429-W,AW23,W Senja Insulation Pants,Coffee Brown,-COF,0.00,XS,-2,7340119360880,,0,#DIV/0!,
